Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4931000,0.4931500,0.010%
LRC,0.3436000,0.3414900,0.615%
ZEC,36.9500000,36.8400000,0.298%
BSV,34.0200000,33.9280000,0.270%
INJ,6.6080000,6.5647000,0.657%
CRV,0.9368000,0.9359000,0.096%
CHZ,0.1220060,0.1209900,0.836%
SAND,0.5947000,0.5913000,0.573%
AXS,7.9400000,7.9070000,0.416%
XTZ,1.0139000,1.0106000,0.326%
EGLD,39.2100000,39.1580000,0.132%
WOO,0.2601900,0.2588200,0.527%
