Currency,Red cup bottom Value (USD$),Green cup top value (USD$)
BTC,28055.0,27943.28
ETH,1865.4,1856.87
USDT,1.0024,1.0007
BNB,313.06,310.92
USDC,0.05019,27927.6
XRP,0.5083,0.50511
ADA,0.38719,27927.5
DOGE,0.05018,0.081368
MATIC,1.111127,1.10292
SOL,20.29,20.169
