Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4891000,0.4885900,0.104%
LRC,0.3406000,0.3383400,0.665%
ZEC,36.7400000,36.6000000,0.381%
BSV,33.8900000,33.7950000,0.280%
INJ,6.5830000,6.5398000,0.658%
CRV,0.9266000,0.9245000,0.226%
CHZ,0.1213040,0.1201800,0.930%
SAND,0.5875000,0.5833000,0.717%
AXS,7.8400000,7.7940000,0.588%
XTZ,1.0051000,1.0020000,0.308%
EGLD,38.8100000,38.7010000,0.281%
WOO,0.2596800,0.2576900,0.769%
