Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4880200,0.180%
LRC,0.3403000,0.3382500,0.604%
ZEC,36.7500000,36.6000000,0.408%
BSV,33.8900000,33.8050000,0.251%
INJ,6.5880000,6.5455000,0.647%
CRV,0.9258000,0.9238000,0.216%
CHZ,0.1215040,0.1202000,1.079%
SAND,0.5871000,0.5835000,0.615%
AXS,7.8400000,7.7900000,0.639%
XTZ,1.0042000,1.0019000,0.229%
EGLD,38.7700000,38.7020000,0.175%
WOO,0.2596800,0.2581100,0.606%
