Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4883900,0.104%
LRC,0.3409000,0.3385500,0.691%
ZEC,36.7600000,36.6300000,0.354%
BSV,39.1400000,33.8300000,14.55%
INJ,6.5950000,6.5520000,0.654%
CRV,0.9259000,0.9246000,0.140%
CHZ,0.1212030,0.1202900,0.756%
SAND,0.5872000,0.5833000,0.666%
AXS,7.8400000,7.7870000,0.678%
XTZ,1.0042000,1.0018000,0.239%
EGLD,38.8200000,38.7470000,0.188%
WOO,0.2625000,0.2600500,0.937%
