Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4901000,0.4892900,0.165%
LRC,0.3413000,0.3384000,0.853%
ZEC,36.7600000,36.6000000,0.436%
BSV,39.1400000,33.8180000,14.58%
INJ,6.5840000,6.5392000,0.682%
CRV,0.9269000,0.9244000,0.270%
CHZ,0.1213040,0.1201400,0.964%
SAND,0.5886000,0.5840000,0.784%
AXS,7.8700000,7.7940000,0.970%
XTZ,1.0051000,1.0044000,0.069%
EGLD,38.7700000,38.6850000,0.219%
WOO,0.2597800,0.2573400,0.943%
