Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4891000,0.4887700,0.067%
LRC,0.3408000,0.3384400,0.694%
ZEC,36.7600000,36.6000000,0.436%
BSV,39.1700000,33.8010000,14.71%
INJ,6.5900000,6.5429000,0.717%
CRV,0.9245000,0.9223000,0.238%
CHZ,0.1213040,0.1201300,0.972%
SAND,0.5872000,0.5839000,0.563%
AXS,7.8400000,7.7920000,0.614%
XTZ,1.0051000,1.0030000,0.209%
EGLD,38.7500000,38.6580000,0.237%
WOO,0.2597800,0.2579500,0.706%
