Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4880800,0.167%
LRC,0.3405000,0.3385000,0.589%
ZEC,36.7700000,36.6200000,0.408%
BSV,39.1100000,33.8290000,14.48%
INJ,6.5970000,6.5565000,0.615%
CRV,0.9257000,0.9236000,0.227%
CHZ,0.1213040,0.1201400,0.964%
SAND,0.5876000,0.5836000,0.683%
AXS,7.8400000,7.7920000,0.614%
XTZ,1.0041000,1.0023000,0.179%
EGLD,38.7900000,38.7290000,0.157%
WOO,0.2598300,0.2579000,0.745%
