Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4886200,0.057%
LRC,0.3410000,0.3386700,0.685%
ZEC,36.7800000,36.6400000,0.381%
BSV,33.9300000,33.8450000,0.250%
INJ,6.6080000,6.5656000,0.643%
CRV,0.9257000,0.9246000,0.118%
CHZ,0.1213040,0.1202200,0.897%
SAND,0.5877000,0.5842000,0.597%
AXS,7.8400000,7.8010000,0.498%
XTZ,1.0052000,1.0020000,0.318%
EGLD,38.8200000,38.7200000,0.257%
WOO,0.2606900,0.2583400,0.905%
