Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4898000,0.4893100,0.100%
LRC,0.3419000,0.3396600,0.657%
ZEC,36.8500000,36.7200000,0.353%
BSV,34.0100000,33.9320000,0.229%
INJ,6.6220000,6.5808000,0.624%
CRV,0.9288000,0.9272000,0.172%
CHZ,0.1214030,0.1204600,0.779%
SAND,0.5881000,0.5846000,0.596%
AXS,7.8400000,7.8160000,0.306%
XTZ,1.0083000,1.0055000,0.278%
EGLD,38.8700000,38.8200000,0.128%
WOO,0.2635100,0.2618300,0.639%
