Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4880200,0.180%
LRC,0.3403000,0.3379400,0.695%
ZEC,36.7500000,36.5600000,0.518%
BSV,39.1200000,33.7830000,14.64%
INJ,6.5810000,6.5344000,0.710%
CRV,0.9259000,0.9234000,0.270%
CHZ,0.1215040,0.1200600,1.195%
SAND,0.5870000,0.5829000,0.700%
AXS,7.8400000,7.7830000,0.729%
XTZ,1.0042000,1.0026000,0.159%
EGLD,38.7400000,38.6810000,0.152%
WOO,0.2596800,0.2573800,0.889%
