Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4886400,0.053%
LRC,0.3398000,0.3381900,0.474%
ZEC,36.7600000,36.6000000,0.436%
BSV,39.1700000,33.8110000,14.68%
INJ,6.5710000,6.5208000,0.766%
CRV,0.9278000,0.9260000,0.194%
CHZ,0.1211030,0.1201600,0.781%
SAND,0.5874000,0.5839000,0.597%
AXS,7.8700000,7.7920000,0.996%
XTZ,1.0052000,1.0030000,0.219%
EGLD,38.7400000,38.6630000,0.198%
WOO,0.2589300,0.2568700,0.798%
