Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4899000,0.4891200,0.159%
LRC,0.3411000,0.3394900,0.473%
ZEC,36.8500000,36.7000000,0.407%
BSV,39.1400000,33.8910000,14.37%
INJ,6.6350000,6.5871000,0.724%
CRV,0.9278000,0.9268000,0.107%
CHZ,0.1214030,0.1204600,0.779%
SAND,0.5884000,0.5847000,0.630%
AXS,7.8400000,7.8070000,0.421%
XTZ,1.0073000,1.0055000,0.178%
EGLD,38.9000000,38.8030000,0.249%
WOO,0.2636600,0.2617500,0.727%
