Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4883500,0.112%
LRC,0.3408000,0.3385700,0.656%
ZEC,36.7600000,36.6200000,0.381%
BSV,39.1300000,33.8450000,14.48%
INJ,6.6090000,6.5617000,0.718%
CRV,0.9265000,0.9246000,0.205%
CHZ,0.1213040,0.1201700,0.939%
SAND,0.5876000,0.5838000,0.648%
AXS,7.8400000,7.7930000,0.601%
XTZ,1.0043000,1.0013000,0.299%
EGLD,38.7900000,38.7370000,0.136%
WOO,0.2598300,0.2579500,0.726%
