Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4882700,0.128%
LRC,0.3405000,0.3381700,0.686%
ZEC,36.7500000,36.5900000,0.436%
BSV,39.1700000,33.8010000,14.71%
INJ,6.5710000,6.5277000,0.661%
CRV,0.9268000,0.9253000,0.161%
CHZ,0.1211030,0.1200600,0.864%
SAND,0.5874000,0.5837000,0.631%
AXS,7.8700000,7.7920000,0.996%
XTZ,1.0041000,1.0037000,0.039%
EGLD,38.7200000,38.6720000,0.124%
WOO,0.2589300,0.2566400,0.888%
