Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4900000,0.4888300,0.239%
LRC,0.3408000,0.3386400,0.635%
ZEC,36.7600000,36.5800000,0.490%
BSV,39.1800000,33.8110000,14.71%
INJ,6.5790000,6.5372000,0.637%
CRV,0.9258000,0.9235000,0.248%
CHZ,0.1213040,0.1201200,0.980%
SAND,0.5870000,0.5829000,0.700%
AXS,7.8600000,7.7870000,0.933%
XTZ,1.0052000,1.0030000,0.219%
EGLD,38.7700000,38.6630000,0.276%
WOO,0.2597800,0.2575200,0.873%
