Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4899000,0.4889400,0.196%
LRC,0.3406000,0.3384900,0.621%
ZEC,36.7500000,36.6000000,0.408%
BSV,39.1800000,33.8460000,14.60%
INJ,6.5920000,6.5463000,0.695%
CRV,0.9268000,0.9245000,0.248%
CHZ,0.1213040,0.1201900,0.922%
SAND,0.5872000,0.5837000,0.597%
AXS,7.8400000,7.7990000,0.524%
XTZ,1.0051000,1.0034000,0.169%
EGLD,38.7700000,38.7150000,0.141%
WOO,0.2597800,0.2583000,0.571%
