Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4885600,0.069%
LRC,0.3412000,0.3391200,0.611%
ZEC,36.8400000,36.6600000,0.489%
BSV,33.9200000,33.8420000,0.230%
INJ,6.6070000,6.5649000,0.639%
CRV,0.9269000,0.9255000,0.151%
CHZ,0.1212030,0.1203900,0.673%
SAND,0.5871000,0.5838000,0.563%
AXS,7.8400000,7.7930000,0.601%
XTZ,1.0052000,1.0018000,0.338%
EGLD,38.8300000,38.7550000,0.193%
WOO,0.2625000,0.2607200,0.680%
