Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4879000,0.4877000,0.041%
LRC,0.3403000,0.3381300,0.639%
ZEC,36.7500000,36.5800000,0.463%
BSV,39.1400000,33.8020000,14.63%
INJ,6.5850000,6.5418000,0.658%
CRV,0.9265000,0.9245000,0.216%
CHZ,0.1215040,0.1200900,1.170%
SAND,0.5871000,0.5832000,0.666%
AXS,7.8400000,7.7890000,0.652%
XTZ,1.0042000,1.0019000,0.229%
EGLD,38.7600000,38.7160000,0.113%
WOO,0.2596800,0.2582800,0.540%
