Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4887400,0.032%
LRC,0.3403000,0.3389000,0.412%
ZEC,36.7800000,36.6400000,0.381%
BSV,33.9200000,33.8370000,0.244%
INJ,6.6060000,6.5605000,0.691%
CRV,0.9259000,0.9238000,0.227%
CHZ,0.1213040,0.1202600,0.864%
SAND,0.5882000,0.5842000,0.682%
AXS,7.8400000,7.8020000,0.485%
XTZ,1.0052000,1.0020000,0.318%
EGLD,38.8400000,38.7630000,0.198%
WOO,0.2606900,0.2584200,0.874%
