Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4888400,0.012%
LRC,0.3407000,0.3386900,0.591%
ZEC,36.7600000,36.6300000,0.354%
BSV,39.1200000,33.8480000,14.45%
INJ,6.5880000,6.5514000,0.557%
CRV,0.9259000,0.9247000,0.129%
CHZ,0.1213040,0.1202000,0.914%
SAND,0.5872000,0.5838000,0.580%
AXS,7.8500000,7.7880000,0.792%
XTZ,1.0042000,1.0018000,0.239%
EGLD,38.8000000,38.7400000,0.154%
WOO,0.2606900,0.2593800,0.503%
