Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4881700,0.149%
LRC,0.3403000,0.3381000,0.648%
ZEC,36.7500000,36.5900000,0.436%
BSV,39.1600000,33.7860000,14.73%
INJ,6.5680000,6.5224000,0.696%
CRV,0.9278000,0.9261000,0.183%
CHZ,0.1211030,0.1201500,0.790%
SAND,0.5874000,0.5835000,0.666%
AXS,7.8800000,7.7900000,1.148%
XTZ,1.0042000,1.0027000,0.149%
EGLD,38.7200000,38.6700000,0.129%
WOO,0.2589300,0.2570400,0.732%
