Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4891000,0.4884900,0.124%
LRC,0.3408000,0.3380600,0.807%
ZEC,36.7500000,36.5600000,0.518%
BSV,39.1700000,33.7920000,14.74%
INJ,6.5730000,6.5333000,0.605%
CRV,0.9245000,0.9223000,0.238%
CHZ,0.1213040,0.1200700,1.022%
SAND,0.5870000,0.5830000,0.683%
AXS,7.8500000,7.7860000,0.818%
XTZ,1.0052000,1.0041000,0.109%
EGLD,38.7600000,38.6660000,0.242%
WOO,0.2597800,0.2572200,0.990%
