Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4898000,0.4893600,0.089%
LRC,0.3419000,0.3397400,0.633%
ZEC,36.8500000,36.7100000,0.380%
BSV,33.9800000,33.8950000,0.250%
INJ,6.6310000,6.5845000,0.703%
CRV,0.9288000,0.9274000,0.150%
CHZ,0.1214030,0.1204900,0.754%
SAND,0.5883000,0.5846000,0.630%
AXS,7.8400000,7.8130000,0.344%
XTZ,1.0073000,1.0055000,0.178%
EGLD,38.9000000,38.8110000,0.229%
WOO,0.2643100,0.2624300,0.713%
