Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4882700,0.128%
LRC,0.3407000,0.3384600,0.659%
ZEC,36.7800000,36.6200000,0.435%
BSV,33.9100000,33.8130000,0.286%
INJ,6.5970000,6.5528000,0.672%
CRV,0.9249000,0.9233000,0.173%
CHZ,0.1213040,0.1201800,0.930%
SAND,0.5877000,0.5837000,0.682%
AXS,7.8400000,7.7980000,0.537%
XTZ,1.0041000,1.0019000,0.219%
EGLD,38.8000000,38.7420000,0.149%
WOO,0.2606900,0.2583000,0.921%
