Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4899000,0.4892600,0.130%
LRC,0.3406000,0.3389000,0.500%
ZEC,36.7500000,36.6300000,0.327%
BSV,39.1400000,33.8490000,14.49%
INJ,6.5960000,6.5519000,0.670%
CRV,0.9279000,0.9256000,0.248%
CHZ,0.1213040,0.1203100,0.822%
SAND,0.5872000,0.5837000,0.597%
AXS,7.8400000,7.8070000,0.421%
XTZ,1.0059000,1.0018000,0.408%
EGLD,38.8200000,38.7520000,0.175%
WOO,0.2605900,0.2584700,0.816%
