Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4886500,0.051%
LRC,0.3412000,0.3391300,0.608%
ZEC,36.8400000,36.6700000,0.462%
BSV,39.1400000,33.8620000,14.45%
INJ,6.6230000,6.5769000,0.698%
CRV,0.9268000,0.9255000,0.140%
CHZ,0.1213030,0.1203900,0.755%
SAND,0.5874000,0.5840000,0.580%
AXS,7.8400000,7.7960000,0.562%
XTZ,1.0062000,1.0032000,0.298%
EGLD,38.8400000,38.7550000,0.219%
WOO,0.2625000,0.2632100,0.270%
