Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4880000,0.4877000,0.061%
LRC,0.3403000,0.3382800,0.595%
ZEC,36.7500000,36.5800000,0.463%
BSV,33.8800000,33.8060000,0.218%
INJ,6.5880000,6.5418000,0.703%
CRV,0.9265000,0.9246000,0.205%
CHZ,0.1215040,0.1201400,1.128%
SAND,0.5871000,0.5833000,0.649%
AXS,7.8400000,7.7890000,0.652%
XTZ,1.0042000,1.0019000,0.229%
EGLD,38.7700000,38.7260000,0.113%
WOO,0.2596800,0.2582200,0.563%
