Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4880100,0.182%
LRC,0.3404000,0.3379300,0.728%
ZEC,36.7600000,36.5500000,0.572%
BSV,33.8900000,33.7940000,0.283%
INJ,6.5790000,6.5357000,0.660%
CRV,0.9260000,0.9234000,0.281%
CHZ,0.1215040,0.1200300,1.220%
SAND,0.5872000,0.5829000,0.734%
AXS,7.8400000,7.7840000,0.716%
XTZ,1.0042000,1.0019000,0.229%
EGLD,38.7400000,38.6720000,0.175%
WOO,0.2596800,0.2574800,0.850%
