Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4880500,0.174%
LRC,0.3403000,0.3384500,0.545%
ZEC,36.7800000,36.6200000,0.435%
BSV,33.9100000,33.8200000,0.265%
INJ,6.5970000,6.5522000,0.681%
CRV,0.9249000,0.9233000,0.173%
CHZ,0.1213040,0.1201600,0.947%
SAND,0.5877000,0.5836000,0.700%
AXS,7.8400000,7.7960000,0.562%
XTZ,1.0041000,1.0023000,0.179%
EGLD,38.8000000,38.7350000,0.167%
WOO,0.2606900,0.2584300,0.870%
