Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4900000,0.4892600,0.151%
LRC,0.3409000,0.3383500,0.750%
ZEC,36.7500000,36.6000000,0.408%
BSV,39.1700000,33.8220000,14.65%
INJ,6.5890000,6.5435000,0.692%
CRV,0.9258000,0.9244000,0.151%
CHZ,0.1213040,0.1201400,0.964%
SAND,0.5873000,0.5832000,0.700%
AXS,7.8700000,7.7910000,1.008%
XTZ,1.0063000,1.0031000,0.318%
EGLD,38.7900000,38.7300000,0.154%
WOO,0.2597800,0.2574400,0.904%
