Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4883600,0.110%
LRC,0.3403000,0.3381500,0.633%
ZEC,36.7400000,36.5800000,0.436%
BSV,39.1300000,33.7990000,14.61%
INJ,6.5670000,6.5254000,0.635%
CRV,0.9276000,0.9257000,0.205%
CHZ,0.1211030,0.1200700,0.856%
SAND,0.5874000,0.5835000,0.666%
AXS,7.8800000,7.7920000,1.123%
XTZ,1.0041000,1.0027000,0.139%
EGLD,38.7200000,38.6710000,0.126%
WOO,0.2589300,0.2570800,0.717%
