Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4881800,0.147%
LRC,0.3403000,0.3385100,0.527%
ZEC,36.7500000,36.6100000,0.381%
BSV,33.9100000,33.8180000,0.271%
INJ,6.5970000,6.5513000,0.695%
CRV,0.9254000,0.9232000,0.238%
CHZ,0.1213040,0.1201500,0.955%
SAND,0.5877000,0.5836000,0.700%
AXS,7.8400000,7.7960000,0.562%
XTZ,1.0041000,1.0023000,0.179%
EGLD,38.7900000,38.7380000,0.134%
WOO,0.2606900,0.2582800,0.928%
