Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4889000,0.4885000,0.081%
LRC,0.3408000,0.3387200,0.612%
ZEC,36.7500000,36.6300000,0.327%
BSV,33.9400000,33.8580000,0.241%
INJ,6.6090000,6.5674000,0.631%
CRV,0.9265000,0.9253000,0.129%
CHZ,0.1213040,0.1201900,0.922%
SAND,0.5876000,0.5839000,0.631%
AXS,7.8500000,7.7920000,0.741%
XTZ,1.0043000,1.0016000,0.269%
EGLD,38.8000000,38.7530000,0.121%
WOO,0.2598300,0.2581600,0.644%
