Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4900000,0.4894000,0.122%
LRC,0.3409000,0.3386600,0.659%
ZEC,36.7600000,36.6300000,0.354%
BSV,39.1800000,33.8390000,14.62%
INJ,6.5980000,6.5437000,0.826%
CRV,0.9268000,0.9244000,0.259%
CHZ,0.1213040,0.1202300,0.889%
SAND,0.5887000,0.5836000,0.870%
AXS,7.8700000,7.7970000,0.931%
XTZ,1.0063000,1.0041000,0.218%
EGLD,38.7900000,38.7220000,0.175%
WOO,0.2597800,0.2578500,0.745%
