Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4898000,0.4895300,0.055%
LRC,0.3421000,0.3400600,0.598%
ZEC,36.9600000,36.7500000,0.569%
BSV,39.1400000,33.9250000,14.27%
INJ,6.6300000,6.5774000,0.796%
CRV,0.9298000,0.9279000,0.204%
CHZ,0.1216040,0.1206300,0.804%
SAND,0.5889000,0.5850000,0.664%
AXS,7.8400000,7.8200000,0.255%
XTZ,1.0082000,1.0056000,0.258%
EGLD,38.9100000,38.8470000,0.162%
WOO,0.2643200,0.2627500,0.595%
