Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4900000,0.4890900,0.185%
LRC,0.3410000,0.3384100,0.762%
ZEC,36.7600000,36.6100000,0.408%
BSV,39.1800000,33.8280000,14.66%
INJ,6.5970000,6.5449000,0.792%
CRV,0.9259000,0.9241000,0.194%
CHZ,0.1213040,0.1201500,0.955%
SAND,0.5877000,0.5833000,0.751%
AXS,7.8700000,7.7940000,0.970%
XTZ,1.0052000,1.0041000,0.109%
EGLD,38.8100000,38.7210000,0.229%
WOO,0.2597800,0.2576200,0.834%
