Currency,AscendEX bottom Value (USDT$),GateIO top value (USDT$),Difference
1INCH,0.4898000,0.4895900,0.042%
LRC,0.3421000,0.3400200,0.609%
ZEC,36.9600000,36.7500000,0.569%
BSV,34.0300000,33.9320000,0.288%
INJ,6.6280000,6.5761000,0.786%
CRV,0.9298000,0.9281000,0.183%
CHZ,0.1216040,0.1206400,0.795%
SAND,0.5889000,0.5851000,0.647%
AXS,7.8400000,7.8210000,0.242%
XTZ,1.0082000,1.0056000,0.258%
EGLD,38.9100000,38.8330000,0.198%
WOO,0.2651700,0.2626500,0.954%
